Participant,Condition,Algorithm,Snippet,Count,Responded,Not Responded,Correct,Incorrect,Late Responded,MultiClicks,OverallClicks,ResponseTime,ClickTime
p16,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,14665,273
p16,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,41706,241
p16,Comprehension,Loop,ContainsSubstring,1,0,1,0,0,0,0,0,60000,
p16,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,12829,520
p16,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,0,0,1,57184,598
p16,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,16504,399
p16,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,18708,277
p16,Comprehension,Loop,GreatestCommonDivisor,1,1,0,1,0,0,0,1,43408,768
p16,Comprehension,Loop,ArrayAverage,1,0,1,0,0,0,0,0,60000,
p16,Comprehension,Loop,hIndex,1,1,0,1,0,0,0,1,53948,455
p16,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,50968,326
p16,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,16675,254
p16,Syntax,,Syn_CountSameCharsAtSamePosition,1,0,1,0,0,0,0,0,30000,
p16,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,1,1,2,29431,247
p16,Syntax,,Syn_BubbleSort,1,0,1,0,0,0,0,0,30000,
p16,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,14551,260
p17,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,5892,175
p17,Comprehension,Loop,hIndex,1,1,0,0,1,1,0,1,59565,0
p17,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,1,0,0,0,1,54511,322
p17,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,39954,345
p17,Comprehension,Loop,lengthOfLastWord,1,1,0,0,1,1,0,1,59346,528
p17,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,23319,254
p17,Comprehension,Loop,GreatestCommonDivisor,1,1,0,1,0,0,0,1,47153,298
p17,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,19553,309
p17,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,10383,321
p17,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,36970,312
p17,Comprehension,Loop,ArrayAverage,1,1,0,1,0,0,0,1,36399,301
p17,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,30092,1233
p17,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,37724,314
p17,Comprehension,IfElse,DumbSort,1,1,0,1,0,1,0,1,59011,248
p17,Comprehension,Loop,ContainsSubstring,1,1,0,0,1,1,0,1,59085,287
p17,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,14010,310
p17,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,8093,255
p17,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,9825,354
p17,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,10,27450,279
p17,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,9256,289
p17,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,6,4579,261
p18,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,55164,350
p18,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,32178,321
p18,Comprehension,Recursion,RecursiveCrossSum,1,0,1,0,0,0,0,0,,
p18,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,45216,208
p18,Comprehension,Loop,lengthOfLastWord,1,0,1,0,0,0,0,0,,
p18,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,22663,324
p18,Comprehension,Loop,hIndex,1,1,0,0,1,0,0,1,239,0
p18,Comprehension,Loop,ArrayAverage,1,1,0,1,0,1,0,1,59594,211
p18,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,0,1,1,0,1,59151,313
p18,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,32235,303
p18,Comprehension,Loop,ContainsSubstring,1,1,0,0,1,1,0,1,59159,386
p18,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,14145,242
p18,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,20662,193
p18,Comprehension,Loop,GreatestCommonDivisor,1,1,0,0,1,1,0,1,59323,285
p18,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,25513,328
p18,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,32380,250
p18,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,6,8385,178
p18,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,12,13064,215
p18,Syntax,,Syn_BubbleSort,1,1,0,0,1,0,1,9,10996,433
p18,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,13,10398,192
p18,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,8161,128
p19,Comprehension,Loop,ArrayAverage,1,1,0,1,0,0,0,1,43726,331
p19,Comprehension,Loop,lengthOfLastWord,1,1,0,1,0,0,0,1,319,0
p19,Comprehension,Recursion,RecursiveFibonacciVariant,1,1,0,1,0,0,0,1,52519,388
p19,Comprehension,Loop,isPalindrome,1,1,0,1,0,0,0,1,41766,331
p19,Comprehension,Loop,CountVowels,1,1,0,1,0,0,0,1,25180,702
p19,Comprehension,Recursion,RecursiveCrossSum,1,1,0,1,0,0,0,1,23333,309
p19,Comprehension,Loop,hIndex,1,1,0,1,0,0,0,1,54119,571
p19,Comprehension,Loop,SquareRoot,1,1,0,1,0,0,0,1,31199,384
p19,Comprehension,Recursion,RecursiveBinaryToDecimal,1,1,0,0,1,0,0,1,46871,1017
p19,Comprehension,IfElse,DumbSort,1,1,0,1,0,0,0,1,41078,429
p19,Comprehension,Loop,GreatestCommonDivisor,1,1,0,1,0,0,0,1,55144,425
p19,Comprehension,Recursion,RecursiveFactorial,1,1,0,1,0,0,0,1,42194,331
p19,Comprehension,Loop,ContainsSubstring,1,1,0,0,1,0,0,1,49615,352
p19,Comprehension,IfElse,isHurricane,1,1,0,1,0,0,0,1,17761,408
p19,Comprehension,IfElse,YesNo,1,1,0,1,0,0,0,1,23602,445
p19,Comprehension,Recursion,RecursivePower,1,1,0,1,0,0,0,1,34705,390
p19,Syntax,,Syn_BubbleSort,1,1,0,1,0,0,1,8,19271,299
p19,Syntax,,Syn_StringPermutation,1,1,0,1,0,0,1,11,18524,325
p19,Syntax,,Syn_DecimalToBinary,1,1,0,1,0,0,1,7,10109,301
p19,Syntax,,Syn_CountSameCharsAtSamePosition,1,1,0,1,0,0,1,13,22258,224
p19,Syntax,,Syn_IntertwineTwoWords,1,1,0,1,0,0,1,11,15761,321
